Precio,Ubicacion,Área (m^2),Distrito,Dormitorios,Baños,Latitud,Longitud,Link,n° colegios (radio 1500m),n° parques/areas verdes (radio 800m),n° hospitales (radio 2000m),n° restaurantes (radio 800m),n° supermercados (radio 1000m),n° gasolineras (radio 1000m)
600000.0,"Jirón El Mástil 515-577, Cuadra 5, Ur. Las Lagunas De La Molina Etapa Iii, La Molina, Lima, 15026, Per",290.0,La Molina,5,7,-12.08447,-76.91739,https://www.laencontre.com.pe/inmueble/669b-bbea-13ed5b99-49eb0a61555b-471e,9,7,0,0,2,0
625000.0,"Ricardo Angulo, San Isidro, Lima, Lima, Peru",360.0,San Isidro,3,3,-12.09924,-77.01439,https://www.laencontre.com.pe/inmueble/364681,15,33,3,45,4,100
540000.0,"Viña Del Mar 131, Perú",592.0,La Molina,4,3,-12.08293,-76.91227,https://www.laencontre.com.pe/inmueble/cd0f-9e46-c1c046dd-6d96d78d503-45fe,8,4,0,1,2,0
490000.0,"Daniel Urrea 251, Chorrillos, Lima 15063, Perú",240.0,Lima,4,3,-12.15771,-77.02288,https://www.laencontre.com.pe/inmueble/4c96-b09d-6c66772-ebcf555a9196-4b0e,21,20,3,31,0,9
520000.0,"Juan De La Fuente 905, Lima, Perú",303.0,Lima,7,5,-12.13096,-77.02045,https://www.laencontre.com.pe/inmueble/f1de-83a2-eeb9c0c7-6ea056e163c-44a9,23,35,1,101,5,98
1000000.0,"Calle Baltazar La Torre 3, San Isidro, Perú",365.0,San Isidro,5,4,-12.09982,-77.05552,https://www.laencontre.com.pe/inmueble/3ba8-bed3-cd5cec7f-f1f86d694e3f-4a9c,12,23,3,40,2,56
420000.0,"Calle German Schreiber, Avenida Dos De Mayo, San Isidro, Perú",269.0,San Isidro,3,2,-12.09585,-77.0235,https://www.laencontre.com.pe/inmueble/c090-aa48-8506589f-f4dfb4418e6a-468f,18,23,4,86,4,109
549000.0,"Jirón Cayaltí 241-279, Cuadra 2, Ur. Centro Comercial De Monterrico, Santiago De Surco, Lima, 15023, Per",409.0,Santiago de Surco,5,5,-12.10618,-76.96952,https://www.laencontre.com.pe/inmueble/8a25-9f47-2caca026-b9cb4ead7287-1274,12,62,0,129,2,43
260000.0,"Calle German Schreiber Gulsmanco 210, Calle German Schreiber Gulsmanco, San Isidro, Perú",140.0,San Isidro,3,2,-12.09555,-77.0234,https://www.laencontre.com.pe/inmueble/e167-b112-ddae56bd-b3a7efd4dc23-497c,18,23,3,83,4,104
560000.0,"Carlos Monge Medrano, Santiago De Surco, Perú",280.0,Santiago de Surco,3,4,-12.11561,-76.97225,https://www.laencontre.com.pe/inmueble/ecf8-8a18-c03fc1a5-cb2b529f8b2a-4364,10,33,0,18,3,25
1260000.0,"Mala, Cañete, Lima, Per",70000.0,Mala,1,1,-12.65566,-76.62969,https://www.laencontre.com.pe/inmueble/ed12-8a10-af8e17d-ddbb4c8a6863-4824,20,5,0,45,1,28
750000.0,"Alameda Manuel Prado Ugarteche 400-478, Cuadra 4, Ot. Universidad Nacional Agraria, La Molina, Lima, 15024, Per",492.0,La Molina,4,3,-12.08047,-76.93582,https://www.laencontre.com.pe/inmueble/8fbf-9927-67ff9309-3eb251a91b81-4c13,6,3,0,1,2,27
330000.0,"Pando, Lima",240.0,Red Cliff,3,2,39.4472,-106.33496,https://www.laencontre.com.pe/inmueble/445046,0,0,0,0,0,0
695000.0,"Rio De Janeiro 200, La Molina, Perú",340.0,La Molina,3,5,-12.08351,-76.89498,https://www.laencontre.com.pe/inmueble/833d-8756-acb618fa-3144770017fd-4c36,8,5,0,14,3,24
325000.0,"Alberto Bartón, Santa Catalina, Lima, Perú",160.0,Lima,4,3,-12.08544,-77.02418,https://www.laencontre.com.pe/inmueble/2195-b4fb-9f066697-1aff5ce29253-4816,47,26,5,61,1,45
435000.0,"Pando, Lima",258.0,Red Cliff,5,3,39.4472,-106.33496,https://www.laencontre.com.pe/inmueble/385324,0,0,0,0,0,0
675000.0,"Las Fresas, Lima 15048, Perú",360.0,Lima,5,5,-12.12239,-77.00658,https://www.laencontre.com.pe/inmueble/6d54-9068-30d94e4d-471737fd31ab-448b,32,41,3,108,2,37
425000.0,"Urb Paso Chico, Paseo Paso Chico, Lurín, Perú",1150.0,Lurin,7,7,-12.28374,-76.84728,https://www.laencontre.com.pe/inmueble/acc5-8b40-c1e37396-638cc9f8834c-1274,10,2,0,0,0,0
360000.0,"La Encantada 130, Rinconada Del Lago, La Molina, Perú",253.0,La Molina,3,4,-12.08538,-76.92418,https://www.laencontre.com.pe/inmueble/e782-9684-4d6b7e93-b05fe6298fa2-4d3c,7,7,0,1,2,1
580000.0,"Calle Neiser Llacsa Arce, Lima, Perú",360.0,Lima,3,3,-12.12725,-77.00703,https://www.laencontre.com.pe/inmueble/c0a8-a4c7-5af9c4df-5b11b73eb762-4bae,28,43,3,108,2,48
590000.0,"Avenida Paseo La Castellana 356, Santiago De Surco, Perú",327.0,Santiago de Surco,4,5,-12.13245,-77.00317,https://www.laencontre.com.pe/inmueble/4d48-8b35-cb9e7eff-8f0eff03d2d5-4a00,36,37,2,70,3,47
439000.0,"Jirón Eduardo Lizarzaburu, San Borja, Perú",212.0,San Borja,6,3,-12.08482,-76.98713,https://www.laencontre.com.pe/inmueble/acc4-8557-6e062436-733c087ff1da-1274,39,38,1,53,2,13
950000.0,"Pucusana, Perú",30000.0,Pucusana,4,8,-12.48419,-76.79597,https://www.laencontre.com.pe/inmueble/406746,14,6,0,1,0,1
1250000.0,"La Planicie, La Molina, Perú",1790.0,La Molina,4,3,-12.07324,-76.91313,https://www.laencontre.com.pe/inmueble/acec-9b43-a1fa9b01-fae5a9c83ee4-423b,7,2,0,1,1,0
370000.0,"Monte Álamo 255, Surco, Perú",200.0,Santiago de Surco,4,4,-12.13544,-76.98111,https://www.laencontre.com.pe/inmueble/acc0-a3bd-ded84526-6d9410a81e40-1274,36,20,1,63,3,33
1220000.0,"La Planicie, La Molina, Perú",1124.0,La Molina,5,3,-12.07324,-76.91313,https://www.laencontre.com.pe/inmueble/44d6-84c6-276b14f1-f50cf9a9d57e-4a8b,7,2,0,1,1,0
500000.0,"Urb California, Perú",1500.0,Peru,4,4,40.4807,-95.73592,https://www.laencontre.com.pe/inmueble/5afe-b3fe-87fa8283-39cf0c17a210-4663,1,3,0,1,1,1
890000.0,"El Haras 5, La Molina, Perú",600.0,La Molina,3,2,-12.07748,-76.93914,https://www.laencontre.com.pe/inmueble/4340-8bb4-d3b9e26d-1270813731ce-4ad2,9,9,2,36,0,26
1480000.0,"Avenida Juan De Aliaga 400, Magdalena Del Mar, Perú",423.0,Magdalena del Mar,8,8,-12.09607,-77.05946,https://www.laencontre.com.pe/inmueble/1c8c-86d4-7a5747ba-1f0d4dbc047a-45eb,31,44,3,60,3,65
1820000.0,"Pachacamac, Lima",4333.0,Pachacamac,7,5,-12.14651,-76.81798,https://www.laencontre.com.pe/inmueble/bda9-99dd-6d79b0f6-bddd3d34d8fa-1273,0,5,0,0,0,0
2500000.0,"Av. Pedro De Osma 417, Barranco, Perú",847.0,Barranco,3,3,-12.15448,-77.02298,https://www.laencontre.com.pe/inmueble/293f-b81d-cb7e07b4-7599ece81a91-470b,23,20,3,94,1,9
475000.0,"Chorrillos, Lima",300.0,Chorrillos,4,5,-12.19196,-77.00896,https://www.laencontre.com.pe/inmueble/c3bf-bee5-5ed1deda-dd507f9ec9ce-429f,52,19,2,40,4,60
540000.0,"Ivan Huerta, Cercado De Lima, Perú",200.0,Lima,5,5,-12.14144,-76.98947,https://www.laencontre.com.pe/inmueble/566810,44,32,2,44,3,48
470000.0,"Santiago De Surco, Lima",292.0,Santiago de Surco,3,1,-12.13102,-76.98333,https://www.laencontre.com.pe/inmueble/9d60-a220-2201bf2f-77c8e5c6bf1e-4d5e,27,19,1,139,5,33
190000.0,"Surquillo, Lima",110.0,Surquillo,4,7,-12.11533,-77.01011,https://www.laencontre.com.pe/inmueble/432477,34,38,5,34,3,117
2100000.0,"Rinconada Alta, La Molina, Perú",2850.0,La Molina,3,2,-12.07899,-76.93104,https://www.laencontre.com.pe/inmueble/2bae-8808-169e341d-dec15f28b44d-42a0,7,4,0,1,2,27
320000.0,"Magdalena Del Mar, Lima",70.0,Magdalena del Mar,4,4,-12.09483,-77.06768,https://www.laencontre.com.pe/inmueble/452902,40,33,4,106,1,53
980000.0,"Las Lagunas, La Molina, Perú",461.0,La Molina,5,5,-12.08122,-76.92057,https://www.laencontre.com.pe/inmueble/2538-8af5-41f6124a-20a929bd881e-4e0f,8,7,0,2,4,1
3600000.0,"La Planicie, 1a Etapa, 12, La Molina, Lima, Lima, Peru",3694.0,La Molina,4,7,-12.07324,-76.91313,https://www.laencontre.com.pe/inmueble/318887,7,2,0,1,1,0
2100000.0,"Rinconada Alta, La Molina, Perú",2850.0,La Molina,5,8,-12.07899,-76.93104,https://www.laencontre.com.pe/inmueble/46a3-ac1f-b4f5030f-63312ba9e8b9-435b,7,4,0,1,2,27
1700000.0,"La Planicie, La Molina, Perú",1508.0,La Molina,5,10,-12.07324,-76.91313,https://www.laencontre.com.pe/inmueble/bedf-8cf7-a598a396-c5752b05a109-487d,7,2,0,1,1,0
2000000.0,"Jirón Los Molles 267, Santiago De Surco, Perú",1204.0,Santiago de Surco,5,4,-12.13596,-77.01453,https://www.laencontre.com.pe/inmueble/7fde-ab7c-fba2c2b3-dd2ed730ab13-49e2,33,46,2,74,2,67
1290000.0,"Av. Belén, San Isidro, Perú",498.0,San Isidro,5,4,-12.10615,-77.04763,https://www.laencontre.com.pe/inmueble/988e-bee8-dc08ff0a-960f9c394f57-49a7,3,21,2,52,4,55
215000.0,"Cloegio Pamer, Avenida Los Alameda Horizontes 710, Cuadra 7, Ur. Los Cedros De Villa Etapa Iv, Chorrillos, Lima, 15067, Per",236.0,Chorrillos,,,-12.20359,-77.00771,https://www.laencontre.com.pe/inmueble/cf1d-bc07-6002f0c-5855f5a21808-43a0,39,26,1,19,2,27
350000.0,"Pasaje Santa Rosa 865 Chaclacayo, Los Pinos, Los Halcones, Chaclacayo, Perú",300.0,Comas,4,4,-11.94605,-77.04621,https://www.laencontre.com.pe/inmueble/fe2e-b6a6-28244dcb-cdfa301a1e31-5003,95,13,1,18,0,5
1200000.0,"La Molina, Lima",1051.0,La Molina,7,6,-12.08997,-76.92359,https://www.laencontre.com.pe/inmueble/458026,8,9,0,0,2,1
2100000.0,"Rinconada Alta, La Molina, Perú",2304.0,La Molina,5,6,-12.07899,-76.93104,https://www.laencontre.com.pe/inmueble/e31a-84cc-c04b80dc-400cbffd29bc-4f34,7,4,0,1,2,27
618000.0,"Chorrillos, Lima",1132.0,Chorrillos,3,3,-12.19196,-77.00896,https://www.laencontre.com.pe/inmueble/452929,52,19,2,40,4,60
590000.0,"Cercado De Lima, Lima",380000.0,Lima,4,4,-12.0503,-77.03662,https://www.laencontre.com.pe/inmueble/8dcb-86a6-836f7e57-c854360b5e02-43dc,75,9,20,107,7,16
825000.0,"Sevilla 115, Miraflores, Perú",267.0,Miraflores,3,3,-12.10654,-77.03052,https://www.laencontre.com.pe/inmueble/915d-9d87-c994cd98-a8df6f8f8eb6-41df,18,21,3,69,6,50
399000.0,"Rinconada Baja, Lima",160.0,Lima,5,6,-12.07899,-76.93104,https://www.laencontre.com.pe/inmueble/b125-93e7-ef4a73c8-87d47e0bf1bb-4ad3,7,4,0,1,2,27
930000.0,"Calle Los Libertadores, San Isidro, Perú",300.0,San Isidro,3,3,-12.10199,-77.03752,https://www.laencontre.com.pe/inmueble/a007-b250-82c4a97-e6f65898bca1-40a0,16,14,4,122,3,22
750000.0,"Av. Andrés Aramburú, San Isidro, Perú",360.0,San Isidro,3,2,-12.10233,-77.02302,https://www.laencontre.com.pe/inmueble/2052-9ab4-9acdb22-b420251a7418-4a01,19,19,4,88,6,103
500000.0,"Surco, Perú",500.0,Surco,4,5,-11.87035,-76.42625,https://www.laencontre.com.pe/inmueble/6278-be13-4bba2883-d639541956d5-4e97,2,0,0,0,0,0
915000.0,"Avenida Manuel Prado Ugarteche, La Molina, Perú",540.0,La Molina,4,5,-12.08706,-76.93486,https://www.laencontre.com.pe/inmueble/8154-9b05-b8aa8942-c72be8ca2b00-4460,5,5,0,0,2,1
579800.0,"Avenida Las Casuarinas, Santiago De Surco, Perú",342.0,Santiago de Surco,3,3,-12.11402,-76.97372,https://www.laencontre.com.pe/inmueble/1257-b49a-5a2e901e-41bd7b10e52e-495c,11,41,0,53,3,33
690000.0,"Jirón Madreselva, Surco, Perú",415.0,Carabayllo,4,4,-11.90109,-77.03646,https://www.laencontre.com.pe/inmueble/bd36-8fb4-8bd800e3-1bb49913eb64-42b0,75,58,4,35,2,19
240000.0,"San Martin De Porres, Lima",111.0,San Martín de Porres,4,2,-12.01032,-77.08539,https://www.laencontre.com.pe/inmueble/a0cf-b28a-eee18226-25779e489f1-4fca,71,39,2,31,2,42
188000.0,"San Juan De Miraflores, Lima",160.0,San Juan de Miraflores,8,3,-12.16249,-76.97057,https://www.laencontre.com.pe/inmueble/a621-bcd5-baffe3b6-3379474fc031-1274,104,58,2,58,0,16
2500000.0,"Los Canarios, La Pradera, Lima, Perú",1341.0,Lima,4,4,-12.09388,-76.93388,https://www.laencontre.com.pe/inmueble/4d9d-bc83-555338e3-a15f2533ab5c-440f,3,4,0,0,0,0
630000.0,"Las Caobas, La Molina, Perú",332.0,La Molina,4,5,-12.09399,-76.94834,https://www.laencontre.com.pe/inmueble/b259-9584-d76cbd20-f234e87a4387-413f,1,21,0,31,2,24
